,angle,energy,StdErr,StdDev
0,-3.141592654,15.794159351040975,0.0867500268918435,2.743276720590828
1,-3.10629386,14.186170522287913,0.08640354392386734,2.73231996709823
2,-3.070995066,12.646563640809063,0.08570338792569358,2.7101790903816525
3,-3.035696272,11.243614076763006,0.08498310280198451,2.687401674825084
4,-3.000397478,9.91628439770091,0.08449921570828406,2.6720998213605567
5,-2.965098684,8.656411463502042,0.084153238831595,2.6611590718796707
6,-2.92979989,7.569200721834942,0.08373298331525905,2.647869425570953
7,-2.894501097,6.583008142826962,0.08310424228853819,2.627986888542646
8,-2.859202303,5.660616354669919,0.08216978414849119,2.5984367275363147
9,-2.823903509,4.831349607721936,0.0810051492402917,2.5616077380118
10,-2.788604715,4.120815062488941,0.07981306918511653,2.523910856735673
11,-2.753305921,3.4983697849519473,0.07884689301955203,2.493357683694155
12,-2.718007127,3.041634934772979,0.07827047212762055,2.4751296546000625
13,-2.682708333,2.6091778079458923,0.07804288261931483,2.467932642422024
14,-2.64740954,2.2971874680679605,0.07780823817515162,2.460512533583424
15,-2.612110746,1.9893278934749787,0.07741567940032572,2.448098735144074
16,-2.576811952,1.8097753803690182,0.0767463660300995,2.4269331879608904
17,-2.541513158,1.6958279036249913,0.07586554595646869,2.3990792115461845
18,-2.506214364,1.5914765808189664,0.07512023340402685,2.3755103592018854
19,-2.47091557,1.5418060834130412,0.07476125572896694,2.3641584883784743
20,-2.435616776,1.5659923202420458,0.07482366418295687,2.3661320169770543
21,-2.400317983,1.6550691585840376,0.07531156740094089,2.3815608714426055
22,-2.365019189,1.7895502558579786,0.0760725509950566,2.405625285636873
23,-2.329720395,1.89556124455995,0.07670167124177907,2.4255198146545736
24,-2.294421601,2.023711998017985,0.0769394941863809,2.433040436502472
25,-2.259122807,2.1166659664420404,0.07668831775554183,2.4250975403424397
26,-2.223824013,2.192012223592034,0.07615662595613197,2.4082839693487545
27,-2.188525219,2.3262691724819824,0.07580333532882653,2.397111938766006
28,-2.153226425,2.4367233333460234,0.07585151284706237,2.3986354456624017
29,-2.117927632,2.519444957169016,0.07610610280742511,2.406686287103984
30,-2.082628838,2.5884640573449946,0.0763747361107062,2.4151812180414143
31,-2.047330044,2.631803380191977,0.07661651964214511,2.422827084642073
32,-2.01203125,2.6542937493049976,0.07674541735801525,2.426903188315502
33,-1.976732456,2.651417509626892,0.07689130651602391,2.4315166085678173
34,-1.941433662,2.638817892818018,0.07724211491787981,2.4426101442897004
35,-1.906134868,2.62546984972497,0.07787566391771937,2.462644722777847
36,-1.870836075,2.5827048067869534,0.07859756317803752,2.4854731818158085
37,-1.835537281,2.472604820983964,0.07900021099043752,2.4982060236364907
38,-1.800238487,2.3684207446749728,0.07886118847607676,2.4938097457222557
39,-1.764939693,2.1658624156000688,0.07826207914174763,2.474864245082782
40,-1.729640899,1.958890794636936,0.07758126049029986,2.4533348689617895
41,-1.694342105,1.8177257216520406,0.07727201184667037,2.443555568189921
42,-1.659043311,1.6455827275939594,0.0776139347048429,2.4543681183489197
43,-1.623744518,1.4269125208999576,0.07848835930580567,2.4820198521601817
44,-1.588445724,1.1880352949709447,0.07951941768042935,2.5146247808042017
45,-1.55314693,0.9711265545709438,0.08028911654909923,2.538964796178718
46,-1.517848136,0.7827732649629446,0.08059657810226097,2.5486875841879586
47,-1.482549342,0.5714753077289814,0.08036756252412905,2.541445475722387
48,-1.447250548,0.36377846208191755,0.07981343283242628,2.523922356273311
49,-1.411951754,0.20151778615597493,0.0792863319570942,2.507253963046132
50,-1.376652961,0.05980943811195161,0.0790085324818674,2.4984691723009704
51,-1.341354167,0.0,0.07900557926368064,2.498375783341994
52,-1.306055373,0.020246695101963752,0.07904333133435547,2.4995696086391956
53,-1.270756579,0.030736384261960126,0.07890780867849372,2.4952840059684123
54,-1.235457785,0.08255484249697886,0.07839240833002832,2.4789856158884613
55,-1.200158991,0.24229773017698975,0.07754080702043215,2.4520556179214
56,-1.164860197,0.4790605644769528,0.0767095568880237,2.4257691806841275
57,-1.129561404,0.7898509207120128,0.07612531377075166,2.4072937911055625
58,-1.09426261,1.0695572642509603,0.07583670336548376,2.3981671287348543
59,-1.058963816,1.4294814479979934,0.0758169381522003,2.3975420978107067
60,-1.023665022,1.9085484643199333,0.07590718876636496,2.4003960728206004
61,-0.988366228,2.4134475189039684,0.07595751713191642,2.4019875954811627
62,-0.953067434,3.01040314561598,0.07605026399940676,2.404920508952315
63,-0.91776864,3.718832968052938,0.07629319183743802,2.4126025617047078
64,-0.882469847,4.407500504313935,0.07684632246180913,2.4300940878707453
65,-0.847171053,5.20726284957906,0.07769606052662478,2.456965164864358
66,-0.811872259,6.076083298266989,0.07839601671021881,2.479099722889119
67,-0.776573465,7.057108826125026,0.07866101838626245,2.487479811689719
68,-0.741274671,8.052286189698018,0.0786699949046836,2.4877636741264118
69,-0.705975877,9.102623350615998,0.07876392890347128,2.490734127985377
70,-0.670677083,10.172514770978971,0.0790161611684633,2.4987104125529567
71,-0.635378289,11.288146407549934,0.07930508735822563,2.5078470609061863
72,-0.600079496,12.389777005676006,0.07959476806928117,2.517007569317713
73,-0.564780702,13.555345140510994,0.0797752362173977,2.522714473249321
74,-0.529481908,14.694585262139007,0.07987358331612106,2.5258244815816737
75,-0.494183114,15.811117571272007,0.07987058014087912,2.5257295128419024
76,-0.45888432,16.937801832889974,0.07967931853945842,2.5196812899476955
77,-0.423585526,18.00716750040104,0.07922786535243889,2.5054050866684587
78,-0.388286732,19.100100782921047,0.07852170156013082,2.4830742268201025
